UF_infec;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF
RO;0;20;25;1;2;1;0;1;0;4;3;1;0;0;0;0;14;27;4;262;238;49;22;26;73;13;15
AC;24;0;29;0;8;0;2;3;7;11;8;3;30;10;9;14;20;11;21;54;17;6;7;5;3;43;11
AM;8;19;0;25;84;0;0;1;1;2;0;0;0;0;0;0;10;7;9;103;23;11;10;1;2;8;22
RR;1;1;9;0;2;0;0;1;0;2;0;0;0;0;0;1;0;0;1;18;5;4;7;1;1;0;6
PA;3;0;19;2;0;84;37;34;6;11;1;1;6;0;0;4;47;13;10;391;77;44;30;7;46;176;113
AP;0;0;0;0;35;0;0;1;1;1;0;0;1;0;0;1;2;0;0;25;6;3;2;0;0;0;5
TO;0;0;0;0;30;1;0;18;3;0;1;0;1;1;0;5;25;1;6;220;41;10;16;0;7;208;264
MA;1;1;0;5;32;7;26;0;40;24;1;3;4;0;1;1;25;4;5;419;50;24;30;6;11;77;416
PI;2;0;0;0;4;0;3;44;0;45;0;1;4;1;2;13;5;2;2;326;16;1;9;0;0;31;334
CE;2;4;6;2;2;5;3;4;16;0;26;15;41;2;0;7;29;6;19;745;48;34;43;1;2;18;188
RN;0;1;1;0;1;0;1;0;0;228;0;33;6;0;0;0;11;3;6;335;23;14;21;1;2;18;84
PB;0;0;0;1;0;0;0;0;2;59;45;0;38;3;0;3;5;3;9;525;10;14;4;0;2;14;100
PE;0;2;0;0;6;1;2;2;21;38;8;54;0;19;5;45;43;11;8;1518;65;42;79;3;1;9;110
AL;1;2;0;0;0;0;1;0;0;0;13;3;33;0;11;11;12;1;1;323;23;7;16;1;0;4;20
SE;0;0;0;0;0;0;0;1;0;3;1;1;4;8;0;28;9;3;5;243;15;7;9;1;0;0;18
BA;2;2;0;0;2;0;9;0;3;21;1;5;17;2;22;0;259;216;24;2934;145;74;109;7;7;101;579
MG;5;2;0;0;2;3;5;7;1;2;1;3;2;0;0;61;0;275;145;3510;178;101;67;11;16;198;411
ES;8;0;0;0;1;0;0;0;0;1;0;0;6;0;0;9;475;0;75;190;26;20;16;1;0;9;26
RJ;7;1;2;3;4;2;1;4;1;16;8;10;3;3;0;25;1631;440;0;2898;365;248;399;33;7;39;267
SP;6;0;0;1;9;0;2;5;9;12;3;8;11;5;4;68;1369;47;122;0;1162;375;168;155;39;83;74
PR;4;0;0;0;0;0;1;0;0;0;1;1;3;0;0;4;17;3;6;818;0;172;80;50;32;7;6
SC;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;2;1;95;111;0;23;11;2;2;3
RS;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3;0;1;18;25;16;0;4;6;4;2
MS;4;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;33;2;4;1726;610;103;99;0;40;32;13
MT;76;5;6;0;18;0;9;2;1;0;0;0;3;0;0;4;60;11;5;934;917;198;200;171;0;328;82
GO;8;3;0;0;4;0;55;4;3;3;1;0;2;0;1;19;127;7;10;717;88;58;54;35;100;0;1301
DF;0;0;0;0;3;0;1;5;0;5;0;2;1;1;1;12;32;2;5;72;18;13;11;4;3;314;0
