data;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
01-01-2019;21;25;10;35;16;21;34;18;20;169;44
01-02-2019;22;19;17;736;25;17;90;33;39;407;22
03-03-2019;58;30;9;2088;83;37;125;34;489;1160;20
02-04-2019;255;21;6;601;142;34;100;33;729;1049;12
02-05-2019;36;16;8;69;37;22;40;15;250;216;11
01-06-2019;6;6;2;14;5;7;8;5;44;20;3
01-07-2019;3;1;0;10;3;3;4;4;14;16;6
02-08-2019;2;2;0;13;4;2;8;3;19;13;4
03-09-2019;2;1;2;7;2;0;0;1;12;8;8
05-10-2019;3;3;4;3;0;1;3;1;12;22;15
06-11-2019;7;2;7;7;1;5;2;2;20;25;13
08-12-2019;10;4;5;8;6;11;0;9;74;43;18
